Date,Close/Last,Volume,Open,High,Low
09/01/2023,$485.09,46383030,$497.62,$498.00,$481.416
08/31/2023,$493.55,52856980,$493.80,$497.44,$489.58
08/30/2023,$492.64,73520600,$490.44,$499.27,$484.25
08/29/2023,$487.84,70139700,$466.66,$490.81,$463.9101
08/28/2023,$468.35,68519220,$464.82,$469.80,$448.88
08/25/2023,$460.18,92534050,$470.12,$478.05,$450.24
08/24/2023,$471.63,115604400,$502.16,$502.66,$471.59
08/23/2023,$471.16,77904610,$458.66,$472.00,$452.08
08/22/2023,$456.68,75720690,$481.35,$481.87,$453.331
08/21/2023,$469.67,69257340,$444.94,$470.65,$442.22
08/18/2023,$432.99,58376790,$426.35,$435.7799,$416.60
08/17/2023,$433.435,45239480,$439.70,$440.62,$430.01
08/16/2023,$434.86,52745070,$445.20,$446.75,$434.06
08/15/2023,$439.40,67651150,$445.60,$452.68,$437.10
08/14/2023,$437.53,69028580,$404.86,$438.00,$403.11
08/11/2023,$408.55,53308530,$417.51,$420.18,$406.39
08/10/2023,$423.88,49270530,$421.60,$435.74,$418.35
08/09/2023,$425.54,58644910,$442.74,$443.12,$421.34
08/08/2023,$446.64,35384340,$448.53,$452.42,$440.5601
08/07/2023,$454.165,32215350,$451.11,$455.40,$445.6345
08/04/2023,$446.80,36266620,$449.85,$456.42,$443.93
08/03/2023,$445.15,32507660,$438.00,$451.18,$438.00
08/02/2023,$442.69,53014160,$458.31,$458.40,$433.87
08/01/2023,$465.07,23927600,$464.595,$469.00,$460.27
07/31/2023,$467.29,25105530,$467.54,$471.30,$465.0601
07/28/2023,$467.50,33119420,$466.68,$470.27,$463.81
07/27/2023,$459.00,45597550,$465.19,$473.95,$457.50
07/26/2023,$454.52,36423730,$460.21,$460.53,$446.30
07/25/2023,$456.79,34808090,$449.41,$461.825,$449.23
07/24/2023,$446.12,38309970,$447.31,$451.09,$440.40
07/21/2023,$443.09,96376860,$457.88,$458.66,$441.00
07/20/2023,$455.20,53786450,$465.07,$470.87,$450.62
07/19/2023,$470.77,42750180,$474.64,$478.18,$467.42
07/18/2023,$474.94,57019040,$467.01,$478.9599,$457.34
07/17/2023,$464.61,51048820,$462.89,$464.96,$452.6241
07/14/2023,$454.69,77207530,$465.828,$480.88,$450.60
07/13/2023,$459.77,47820370,$445.18,$461.55,$444.92
07/12/2023,$439.02,48127700,$430.33,$439.35,$427.7728
07/11/2023,$424.05,29824410,$424.81,$427.58,$420.67
07/10/2023,$421.80,35390810,$426.57,$428.11,$416.49
07/07/2023,$425.03,35588150,$423.22,$432.14,$421.80
07/06/2023,$421.03,30413880,$418.44,$421.79,$413.46
07/05/2023,$423.17,32361760,$421.35,$431.77,$420.85
07/03/2023,$424.13,19775410,$425.17,$428.98,$422.02
06/30/2023,$423.02,50114780,$416.80,$425.50,$415.01
06/29/2023,$408.22,38051430,$415.58,$416.00,$406.00
06/28/2023,$411.17,58263930,$406.60,$418.45,$405.18
06/27/2023,$418.76,46217470,$407.99,$419.40,$404.48
06/26/2023,$406.32,59432190,$424.61,$427.64,$401.00
06/23/2023,$422.09,35813980,$424.64,$428.09,$420.15
06/22/2023,$430.25,41773740,$422.53,$434.255,$422.34
06/21/2023,$430.45,55160290,$435.01,$436.15,$420.80
06/20/2023,$438.08,45115310,$429.98,$439.90,$426.74
06/16/2023,$426.92,65570940,$434.50,$437.21,$426.605
06/15/2023,$426.53,56862200,$426.02,$432.89,$421.47
06/14/2023,$429.97,74046500,$408.24,$430.00,$405.52
06/13/2023,$410.22,61320820,$401.86,$411.01,$397.40
06/12/2023,$394.82,38967340,$392.00,$395.2999,$386.18
06/09/2023,$387.70,42771750,$390.37,$397.11,$385.67
06/08/2023,$385.10,41777240,$377.24,$388.64,$375.05
06/07/2023,$374.75,51199790,$389.15,$394.99,$373.56
06/06/2023,$386.54,38872910,$388.30,$391.60,$381.48
06/05/2023,$391.71,39609380,$389.09,$395.6503,$387.07
06/02/2023,$393.27,48273120,$400.97,$405.00,$390.5801
06/01/2023,$397.70,63587300,$384.89,$400.50,$383.40
05/31/2023,$378.34,100258000,$394.88,$402.95,$378.22
05/30/2023,$401.11,92340110,$405.95,$419.38,$399.49
05/26/2023,$389.46,71439680,$378.90,$391.70,$375.50
05/25/2023,$379.80,154391100,$385.23,$394.80,$366.35
05/24/2023,$305.38,72141850,$302.10,$306.07,$298.06
05/23/2023,$306.88,35625330,$310.00,$312.88,$306.31
05/22/2023,$311.76,37199970,$309.01,$315.20,$306.80
05/19/2023,$312.64,47390770,$315.36,$315.80,$309.16
05/18/2023,$316.78,74872500,$304.10,$318.28,$303.20
05/17/2023,$301.78,43253540,$295.84,$301.99,$294.3001
05/16/2023,$292.13,44940490,$288.41,$298.70,$288.32
05/15/2023,$289.53,29392590,$285.085,$289.69,$281.52
05/12/2023,$283.40,27422230,$285.29,$287.80,$280.46
05/11/2023,$285.78,32214900,$288.96,$289.50,$282.46
05/10/2023,$288.85,36935000,$290.05,$291.13,$284.6128
05/09/2023,$285.71,31486950,$288.99,$289.73,$284.50
05/08/2023,$291.51,34497890,$285.22,$292.20,$283.50
05/05/2023,$286.80,36149410,$278.255,$287.55,$277.31
05/04/2023,$275.62,32185040,$276.51,$278.59,$272.40
05/03/2023,$278.02,38338740,$278.40,$283.67,$274.72
05/02/2023,$282.10,40272960,$286.80,$288.3599,$280.83
05/01/2023,$289.10,57032850,$278.40,$290.5844,$277.80
04/28/2023,$277.49,29221610,$272.25,$277.58,$270.7148
04/27/2023,$272.26,37716120,$273.63,$274.95,$266.2501
04/26/2023,$269.56,40633680,$270.02,$273.30,$267.051
04/25/2023,$262.41,37852720,$270.78,$272.47,$262.25
04/24/2023,$270.42,33928190,$270.13,$273.6599,$266.7101
04/21/2023,$271.19,34510280,$269.52,$271.83,$267.22
04/20/2023,$271.04,42771330,$276.71,$280.30,$270.00
04/19/2023,$279.31,35866040,$273.61,$280.00,$272.32
04/18/2023,$276.67,60481150,$275.335,$281.10,$273.57
04/17/2023,$270.02,32147130,$265.655,$270.06,$264.3318
04/14/2023,$267.58,39566010,$265.04,$268.83,$262.20
04/13/2023,$264.63,35361530,$267.34,$268.869,$263.29
04/12/2023,$264.95,44625900,$273.70,$274.6799,$264.475
04/11/2023,$271.69,31437820,$277.235,$277.90,$271.26
04/10/2023,$275.79,39527860,$268.23,$276.2099,$266.69
04/06/2023,$270.37,39765430,$265.84,$270.80,$264.27
04/05/2023,$268.81,51501470,$268.29,$269.98,$263.95
04/04/2023,$274.53,36859150,$279.66,$280.00,$273.07
04/03/2023,$279.65,39871560,$275.09,$280.00,$273.36
03/31/2023,$277.77,43393280,$271.40,$278.3431,$271.05
03/30/2023,$273.83,36451570,$272.29,$274.99,$271.02
03/29/2023,$269.84,39369390,$268.25,$270.78,$265.97
03/28/2023,$264.10,35610380,$264.47,$265.13,$258.50
03/27/2023,$265.31,36102570,$268.37,$270.00,$263.65
03/24/2023,$267.79,45541410,$270.31,$271.67,$263.55
03/23/2023,$271.91,56488880,$271.155,$274.99,$266.90
03/22/2023,$264.68,79729510,$264.25,$275.89,$262.37
03/21/2023,$261.99,54740780,$261.80,$263.92,$253.81
03/20/2023,$259.00,43274720,$256.15,$260.24,$251.2983
03/17/2023,$257.25,84854660,$259.82,$263.99,$256.68
03/16/2023,$255.41,58494630,$240.27,$255.88,$238.94
03/15/2023,$242.28,52448570,$237.61,$242.86,$233.60
03/14/2023,$240.63,47491010,$234.96,$242.19,$234.60
03/13/2023,$229.66,42189030,$227.52,$232.98,$222.97
03/10/2023,$229.65,47486570,$234.09,$236.27,$227.26
03/09/2023,$234.36,50125700,$241.75,$244.54,$233.8284
03/08/2023,$241.81,51357340,$234.87,$242.00,$234.235
03/07/2023,$232.88,51515390,$236.00,$241.25,$232.41
03/06/2023,$235.54,43742920,$238.91,$242.48,$234.87
03/03/2023,$238.90,41239330,$233.20,$239.00,$231.30
03/02/2023,$233.14,39007470,$224.88,$233.804,$224.32
03/01/2023,$226.98,46002560,$231.92,$232.5557,$225.08
02/28/2023,$232.16,45596280,$233.72,$238.25,$232.06
02/27/2023,$235.01,45299370,$236.70,$238.7994,$234.54
02/24/2023,$232.86,58971590,$232.25,$234.74,$229.47
02/23/2023,$236.64,111799500,$234.40,$238.88,$230.25
02/22/2023,$207.54,51318430,$207.07,$211.04,$204.21
02/21/2023,$206.55,41001460,$210.00,$214.938,$206.18
02/17/2023,$213.88,46588760,$216.31,$217.40,$209.75
02/16/2023,$220.02,41202630,$221.33,$225.50,$219.268
02/15/2023,$227.64,42118830,$225.49,$228.55,$221.06
02/14/2023,$229.71,67547350,$215.78,$230.488,$213.66
02/13/2023,$217.88,47491860,$215.38,$220.48,$209.62
02/10/2023,$212.65,55073680,$216.90,$220.7764,$208.11
02/09/2023,$223.37,52387580,$226.06,$230.20,$221.20
02/08/2023,$222.05,55965120,$223.87,$228.78,$220.0801
02/07/2023,$221.73,66414960,$213.82,$222.59,$211.50
02/06/2023,$210.89,45219710,$208.06,$215.70,$207.86
02/03/2023,$211.00,42936600,$210.00,$217.4499,$207.89
02/02/2023,$217.09,56427580,$210.00,$219.49,$207.00
02/01/2023,$209.43,66047700,$196.91,$211.92,$196.11
01/31/2023,$195.37,49801660,$191.695,$196.87,$189.50
01/30/2023,$191.62,48861120,$199.50,$201.40,$191.50
01/27/2023,$203.65,54214200,$194.62,$206.28,$194.05
01/26/2023,$198.02,48953540,$197.01,$201.66,$192.78
01/25/2023,$193.23,44953710,$189.125,$193.70,$185.80
01/24/2023,$192.65,49620410,$188.27,$194.95,$188.20
01/23/2023,$191.93,65516260,$180.64,$192.45,$178.175
01/20/2023,$178.39,56496710,$170.11,$178.56,$168.25
01/19/2023,$167.65,45293160,$170.36,$171.97,$167.31
01/18/2023,$173.77,43962360,$176.67,$178.73,$172.82
01/17/2023,$177.02,51110220,$168.99,$177.28,$168.99
01/13/2023,$168.99,44728710,$162.78,$169.22,$161.65
01/12/2023,$165.11,55140910,$161.00,$166.37,$154.92
01/11/2023,$160.01,35328490,$158.395,$160.28,$155.63
01/10/2023,$159.09,38410130,$155.07,$159.6199,$154.72
01/09/2023,$156.28,50423060,$152.84,$160.56,$151.41
01/06/2023,$148.59,40504360,$144.74,$150.10,$140.34
01/05/2023,$142.65,38916810,$144.91,$145.64,$141.4795
01/04/2023,$147.49,43132360,$145.67,$148.53,$142.41
01/03/2023,$143.15,40127660,$148.51,$149.96,$140.96
12/30/2022,$146.14,31048980,$143.34,$146.2899,$142.33
12/29/2022,$146.03,35492320,$144.02,$146.83,$142.27
12/28/2022,$140.36,35106650,$139.27,$142.62,$138.84
12/27/2022,$141.21,46490230,$150.74,$151.00,$140.56
12/23/2022,$152.06,34932560,$151.96,$153.39,$148.83
12/22/2022,$153.39,56504530,$160.935,$161.38,$148.82
12/21/2022,$165.01,32502540,$161.14,$166.27,$161.02
12/20/2022,$160.85,40325980,$160.64,$163.10,$158.52
12/19/2022,$162.54,35403880,$165.72,$166.09,$161.45
12/16/2022,$165.71,47823190,$168.642,$170.41,$164.10
12/15/2022,$169.52,47854210,$171.46,$173.20,$167.00
12/14/2022,$176.74,49688810,$179.87,$182.52,$174.20
12/13/2022,$180.72,65658880,$185.31,$187.90,$177.11
12/12/2022,$175.35,45732780,$170.37,$175.38,$167.97
12/09/2022,$170.01,46533820,$171.60,$175.83,$169.75
12/08/2022,$171.69,51545550,$162.73,$171.79,$159.59
12/07/2022,$161.20,37238760,$157.72,$161.86,$156.67
12/06/2022,$159.87,35269430,$165.30,$165.73,$158.19
12/05/2022,$166.10,35225520,$166.79,$169.95,$164.7201
12/02/2022,$168.76,37138860,$166.59,$169.3257,$164.45
12/01/2022,$171.35,47097660,$169.99,$172.65,$166.35
11/30/2022,$169.23,56529820,$156.97,$169.30,$155.97
11/29/2022,$156.39,29838450,$158.27,$159.32,$155.20
11/28/2022,$158.27,30415200,$160.26,$163.57,$157.25
11/25/2022,$162.70,16793430,$163.18,$164.87,$161.72
11/23/2022,$165.19,42724090,$160.98,$165.27,$160.4801
11/22/2022,$160.38,47286610,$153.28,$160.5757,$151.216
11/21/2022,$153.17,40473930,$151.47,$154.77,$150.80
11/18/2022,$154.09,49207170,$159.66,$160.02,$151.2001
11/17/2022,$156.77,71089360,$157.15,$162.66,$155.35
11/16/2022,$159.10,64954680,$161.615,$163.62,$158.73
11/15/2022,$166.66,54587550,$167.215,$169.98,$163.82
11/14/2022,$162.95,52785250,$162.18,$165.40,$159.22
11/11/2022,$163.27,65548750,$158.075,$163.89,$154.82
11/10/2022,$157.50,70081930,$148.00,$157.73,$145.47
11/09/2022,$137.76,45441370,$141.615,$142.11,$137.5901
11/08/2022,$146.02,59529200,$148.01,$148.9101,$142.16
11/07/2022,$143.01,41006100,$142.28,$144.12,$139.54
